No.,ISBN-13,Title
1,9781799516620,Batman: Legends of the Dark Knight Omnibus Vol. 1
2,9781799513162,DC Finest: Batman: Blind Justice
3,9781779506610,Road to No Man's Land Omnibus
4,9781779525864,Nightwing: A Knight in Blüdhaven Compendium One
5,9781799501480,Nightwing: A Knight in Blüdhaven Compendium Two
6,9781799508120,Nightwing: A Knight in Blüdhaven Compendium Three
7,9781799515302,Nightwing: A Knight in Blüdhaven Compendium Four
8,9781799501398,Red Hood & the Outlaws: The New 52 Omnibus Vol. 1 (2025 Edition)
9,9781799516453,Red Hood & the Outlaws: The New 52 Omnibus Vol. 2
10,9781799508236,Detective Comics: The New 52 Omnibus Vol. 2
11,9781799501312,Nightwing: The Prince of Gotham Omnibus (2025 Edition)
12,9781779517326,Grayson The Superspy Omnibus (2022 Edition)
13,9781779525895,Batman: Black Mirror The Deluxe Edition
14,9781779523037,Batman & Robin Eternal Omnibus
15,9781779506658,Rise and Fall of the Batmen Omnibus
16,9781799501169,Nightwing: Rebirth Omnibus
17,9781799507369,Batman by James Tynion IV Omnibus Vol. 2
18,9781779521255,Batman: Detective Comics by Peter J. Tomasi Omnibus
19,9781799502401,Batman: Detective Comics by Mariko Tamaki Omnibus
20,9781799508038,Batman: Urban Legends Omnibus Vol. 1
21,9781799502197,Nightwing by Tom Taylor and Bruno Redondo Omnibus Vol. 1
22,9781799508502,Nightwing by Tom Taylor and Bruno Redondo Omnibus Vol. 2
23,9781799507819,Batman by Chip Zdarsky Omnibus Vol. 1
24,9781799516491,Batman by Chip Zdarsky Omnibus Vol. 2
25,9781799509066,Batman: Detective Comics by Ram V Omnibus
26,9781799507826,Legends Omnibus
27,9781779502964,Justice League International Omnibus Vol. 2
28,9781779525642,Justice League International Omnibus Vol. 3
29,9781799509257,JLA by Mark Waid Omnibus
30,9781799506430,Justice League by Scott Snyder and James Tynion IV Omnibus Vol. 2
31,9781779513137,Justice League Dark: The New 52 Omnibus
32,9781779525888,Justice League Dark: Rebirth Omnibus
33,9781779526304,Zero Hour
34,9781779515438,52 Omnibus
35,9781779517036,Dark Nights: Metal Omnibus
36,9781779506054,Doomsday Clock: The Complete Collection
37,9781401291426,Heroes in Crisis
38,9781799508243,Dark Crisis on Infinite Earths Omnibus
39,9781799501374,Knight Terrors Omnibus
40,9781799509097,Absolute Power Omnibus
41,9781779525734,Green Lantern/Green Arrow: Hard Traveling Heroes Omnibus
42,9781799510291,DC Finest: Green Lantern: Setting Up Shop
43,9781779527523,Green Lantern Corps by Peter J. Tomasi and Patrick Gleason Omnibus Vol. 2
44,9781799501763,Red Lanterns: The New 52 Omnibus
45,9781799509769,Hal Jordan and the Green Lantern Corps by Robert Venditti Omnibus Vol. 1
46,9781799510758,Hal Jordan and the Green Lantern Corps by Robert Venditti Omnibus Vol. 2
47,9781799516576,The Green Lantern by Grant Morrison and Liam Sharp Omnibus
